http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1056&lg=f | Angelika Kolompar Renville | Canada | jour pluvieux\\dans la forêt pluvieuse\\plic, plic, plic
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=153&lg=f | Carole MacRury | USA |    dans la cour\\   au milieu de notre dispute --\\   une libellule rouge
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3344&lg=f | Eric Hellal | France | T shirt -\\encore mieux armée\\sans armature
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2554&lg=f | Daniel Py | France | dans le bol de verveine\\l'ampoule du plafonnier\\- mi-novembre
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1031&lg=f | André Duhaime | Canada | guitar and harmonica\\in my car bob dylan also\\is still 20
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6750&lg=f | André Cayrel | France | parmi les passants\\le parfum persistant\\d’une passante
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1026&lg=f | Denise Dudon | France | vitrail presque noir\\dans la cathédrale obscure\\Chartres sans soleil
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=8025&lg=f | Philippe Macé | France | ma maison d’enfance\\par un carreau entrevoir\\l’obscurité
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5497&lg=f | John McDonald | Scotland (UK) | chandelles allumées\\des larmes en fondant\\jour de Nagasaki
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5910&lg=f | Paul David Mena | USA | flocons de neige --\\j'essaie de me souvenirs\\quand je suis devenu gris
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2189&lg=f | Robert Van Muylder | Belgique | inquiète -\\le tracé de ton nez\\sur la vitre
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5951&lg=f | Gérard Maréchal | France | Qi gong,\\lentement il fait tomber\\la neige du ciel
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2208&lg=f | Paul David Mena | USA | faisceau de triage à l'aube --\\de nouveaux graffiti\\sur le vieux fourgon
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5134&lg=f | Mark Holloway | UK | ciel couvert\\jusqu'à ce qu'un papillon blanc se pose\\sur mon écran de téléphone
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5631&lg=f | Gérard Dumon | France | nuit étoilée\\le bonheur de pouvoir\\pisser sous la lune
