Page,Auteur  ,Sexe,Pays,Nombre Haikus,,,
hoar-s ,Sarah Hoarau ,F,- France,1,,,
hoar-v ,Vincent Hoarau ,H,Lyon - France,98,,,
holl-m ,Mark Holloway ,H,- UK,2,,,
hous-f ,Florence Houssais ,F,"Lanester, Morbihan, Bretagne - France",2,,,
howa-d ,Dorothy Howard (zeni b) ,F,"Gatineau, Ontario - Canada",5,,,
hupp-i ,Iocasta Huppen ,F,Bruxelles - Belgique,9,,,
huss-g ,Ghayda Al-haj Hussen ,?,Damas - Syrie,4,,,
inc ,Auteur inconnu ,?,- ,4,,,
jacq-f ,Françoise Jacquet ,F,Rhône Alpes - France,3,,,
jerb-r ,Rachida Jerbi ,F,Tunis - Tunisie,2,,,
jubi-c ,Christophe Jubien ,H,Chartres - France,7,,,
junc-m ,Monique Junchat ,F,- France,4,,,
klac-n ,Nicholas David Klacsanzky ,H,Kiev - Ukraine,1,,,
kolo-a ,Angelika Kolompar Renville ,F,"Vancouver Island, British Columbia - Canada",2,,,
lach-h ,Henri Lachèze ,H,- France,1,,,
lahl-m ,Meryem Lahlou ,F,Oujda - Maroc,5,,,
lall-m ,Marylène Lallemand ,F,Marseille - France,3,,,
lami-l ,Laurence Lamiable ,F,- France,1,,,
lebl-c ,Carmen Leblanc ,F,"Baie-Comeau, QC - Canada",1,,,
lecl-h ,Hélène Leclerc ,F,"Drummondville, QC - Canada",5,,,
leco-g ,Gaetan Lecoq ,H,"Saint-Grégoire, Bretagne - France",1,,,
lema-n ,Nicolas Lemarin ,H,- France,1,,,
ligi-l ,Lilas Ligier ,F,- France,15,,,
loch-e ,Evelaine Lochu ,F,Paris - France,1,,,
lonq-f ,Françoise Lonquety ,F,- France,5,,,
lour-k ,Karyn Louryan ,F,Bruxelles - Belgique,30,,,
lux-a ,Angèle Lux ,F,"Val-des-Monts, Québec - Canada",11,,,
mace-p ,Philippe Macé ,H,Paris - France,3,,,
macr-c ,Carole MacRury ,F,"Point Roberts, Washington - USA",1,,,
magn-o ,Olivier Magnani ,H,"Gallardon, Beauce - France",1,,,
mair-ma ,Marie-Alice Maire ,F,- France,7,,,
mara-c ,Christophe Marand ,H,Les Lilas - France,4,,,
mare-g ,Gérard Maréchal ,H,Lyon - France,32,,,
mari-c ,Caroline Marin ,F,Marseille - France,3,,,
mart-m ,Michel Martin ,H,- France,14,,,
masm-s ,Sarra Masmoudi ,F,Tunis - Tunisie,104,,,
mass-s ,Sarah Masselink ,F,Lyon - France,1,,,
math-l ,Louve Mathieu ,F,Québec - Canada,5,,,
mcdo-j ,John McDonald ,H,Edinburgh - Scotland (UK),1,,,
mena-pd ,Paul David Mena ,H,"Wayland, Massachusetts - USA",3,,,
mera-m ,Monique Merabet ,F,- France,1,,,
moin-e ,Emilie Moineau ,F,Paris - France,1,,,
mout-a ,Abelhak Moutachaoui Abdou ,H,Casablanca - Maroc,8,,,
moys-c ,Choupie Moysan ,F,Vannes - France,3,,,
mura-s ,Sofi Mura ,F,la Chapelle du Bard - France,1,,,
naga-l ,Louis Nagara ,H,Paris - France,47,,,
naye-b ,Bertrand Nayet ,H,- Canada,1,,,
neko ,nekojita ,?,Paris - France,6,,,
nica-r ,Ruth Nicaise ,F,Barbeçon - Belgique,4,,,
nick-e ,Eléonore Nickolay ,F,Vaires sur Marne - France,16,,,
niwa-v ,Vicky Ni Wayan ,F,Namur - Belgique,4,,,
ourl-c ,Christine Ourliac ,F,Paris - France,1,,,
pade-l ,Lydia Padellec ,F,- France,2,,,
pala-p ,Patrick Palaquer ,H,- France,2,,,
